id,match_id,team_name_id,team_points,win_loss,ranking_points,auto_points,low_bar,portcullis,cheval_de_frise,moat,ramparts,drawbridge,sallyport,rockwall,rough_terrain,shooter_type,position,shots_made,shots_taken,defense_or_offense,end_game,penalties,speed_stability_notes,driver_skill
1,prac1,5940,,Select Match Result [0],0,,0,0,0,0,0,0,0,0,0,Shooter Type [0],Select Position [0],0,0,Select Strengths,challenge [1],,,good [2]
2,prac 2,5026,,Select Match Result [0],0,,1,0,0,0,0,0,5,0,0,Shooter Type [0],Select Position [0],1,1,Select Strengths,challenge [1],,,Driver's Skill [0]
3,prac 3,5905,45,Select Match Result [0],0,,0,0,0,0,0,0,0,0,4,Shooter Type [0],Select Position [0],0,0,Select Strengths,challenge [1],,,Driver's Skill [0]
4,prac 4,5940,,Select Match Result [0],0,,7,0,0,0,0,0,0,0,1,Only Low [3],Defense 2 [2],3,3,Offense [2],challenge [1],,,good [2]
5,prac 5,4186,42,Select Match Result [0],0,,0,0,0,0,0,0,0,0,1,Only Low [3],Defense 3 [3],1,1,Select Strengths,challenge [1],,,Driver's Skill [0]
6,3,841,74,Loss [2],1,,0,0,0,0,1,0,2,4,0,None [1],Defense 1 [1],0,0,Offense [2],challenge [1],,,poor [4]
7,4,1678,,Select Match Result [0],0,,3,0,1,0,2,0,0,0,0,Only High [2],Defense 5 [5],3,5,Offense [2],challenge [1],,,good [2]
8,32,115,64,Win [1],3,0,0,0,1,0,1,0,0,1,0,Both, mainly high [4],Defense 1 [1],2,2,Select Strengths,nothing [3],,,Driver's Skill [0]
9,33,4255,,Select Match Result [0],0,,3,0,0,0,0,0,0,1,0,None [1],Defense 1 [1],0,0,Offense [2],challenge [1],,,poor [4]
10,37,1280,125,Win [1],4,10,0,0,0,0,0,3,0,1,0,Both, mainly high [4],Defense 2 [2],2,4,Offense [2],climb [2],,team w/ 1678,very good [1]
11,38,192,85,Win [1],3,10,2,0,1,0,0,0,0,0,0,Only High [2],Defense 3 [3],2,5,Offense [2],challenge [1],,auto w/ shot,very good [1]
12,39,253,78,Win [1],3,2,0,0,0,2,0,0,0,0,0,None [1],Defense 5 [5],0,0,Offense [2],challenge [1],,stuck on moat,fair [3]
13,40,2473,41,Loss [2],0,2,3,0,0,0,0,0,0,1,0,None [1],Defense 2 [2],0,0,Offense [2],challenge [1],,,poor [4]
