id,match_id,team_name_id,team_points,win_loss,ranking_points,auto_points,low_bar,portcullis,cheval_de_frise,moat,ramparts,drawbridge,sallyport,rockwall,rough_terrain,shooter_type,position,shots_made,shots_taken,defense_or_offense,end_game,penalties,speed_stability_notes,driver_skill
1,24,5026,120,Select Match Result [0],0,,0,0,0,0,0,0,0,0,0,Only Low [3],Select Position [0],0,0,Offense [2],challenge [1],,,poor [4]
2,25,972,,Select Match Result [0],0,10,1,0,0,1,1,0,0,0,0,Only Low [3],Select Position [0],1,0,Offense [2],nothing [3],,,poor [4]
3,25,6036,,Select Match Result [0],0,0,1,0,0,0,0,0,0,0,1,Only Low [3],Defense 4 [4],3,6,Offense [2],challenge [1],,,good [2]
4,prac5,2035,,Select Match Result [0],0,,0,0,0,0,0,0,0,0,0,Only Low [3],Defense 1 [1],0,0,Offense [2],challenge [1],,,fair [3]
5,Qual 2,6036,63,Loss [2],1,2,1,0,0,0,0,0,0,2,0,Only Low [3],Defense 5 [5],2,3,Offense [2],challenge [1],,,fair [3]
6,3,5026,82,Win [1],3,10,2,0,0,0,0,0,0,0,0,Only High [2],Spybot [6],1,3,Offense [2],challenge [1],,,poor [4]
7,4,100,46,Loss [2],0,2,1,0,2,0,1,0,0,1,0,Only Low [3],Defense 5 [5],0,0,Offense [2],challenge [1],,,fair [3]
8,5,1280,74,Select Match Result [0],0,10,0,0,0,0,3,0,0,4,0,Only High [2],Defense 3 [3],3,5,Offense [2],challenge [1],,,good [2]
9,7,5905,67,Loss [2],0,7,1,0,0,0,1,0,0,2,0,Both, mixed [6],Defense 4 [4],0,0,Offense [2],nothing [3],,,good [2]
10,8,2813,38,Loss [2],0,,0,0,0,0,2,0,0,0,0,Shooter Type [0],Defense 3 [3],0,0,Select Strengths,nothing [3],,motionless for last 30-40 seconds of match,poor [4]
11,9,1662,60,Loss [2],0,10,0,0,0,0,2,0,0,1,0,Only Low [3],Select Position [0],2,2,Offense [2],challenge [1],,tank tread drive train is very effective ,good [2]
12,10,4255,,Select Match Result [0],0,0,0,0,0,0,0,0,0,0,0,Only Low [3],Select Position [0],0,0,Select Strengths,challenge [1],,,Driver's Skill [0]
13,11,5700,blue,Select Match Result [0],0,,0,0,1,0,0,0,0,2,0,None [1],Defense 1 [1],1,1,Defense [1],nothing [3],,driver went back and forth over the rock wall for seemingly no reason, even after the available points for going over the defense ran out. There was no attempt to go over any other defenses. ,poor [4]
14,12,581,blue,Loss [2],0,,3,0,0,0,0,0,0,0,0,Both, mixed [6],Defense 2 [2],0,0,Select Strengths,nothing [3],,could not drive in a straight line to open the sallyport,horrendous [5]
15,13,841,Blue,Loss [2],0,,0,0,0,0,0,0,0,0,0,None [1],Defense 1 [1],0,0,Select Strengths,nothing [3],,got stuck on moat,Driver's Skill [0]
16,14,972,,Select Match Result [0],0,,0,0,0,1,0,0,0,0,0,Both, mixed [6],Defense 1 [1],0,0,Defense [1],nothing [3],,Unclear shooter type,poor [4]
17,15,8,104,Select Match Result [0],4,,1,0,0,0,0,0,0,0,0,Only Low [3],Defense 1 [1],0,0,Defense [1],Select End Game [0],,,fair [3]
18,16,254,,Select Match Result [0],0,,2,0,0,0,0,0,0,0,0,Both, mainly high [4],Select Position [0],8,9,Offense [2],challenge [1],,,very good [1]
19,17,668,34,Loss [2],0,,1,0,0,0,0,0,0,0,0,Only Low [3],Defense 2 [2],0,0,Select Strengths,challenge [1],,Trouble getting ball,fair [3]
20,18,3256,blue,Win [1],0,,3,0,0,0,0,0,0,0,0,Shooter Type [0],Select Position [0],0,0,Defense [1],nothing [3],,,fair [3]
21,19,4765,57,Loss [2],0,2,1,0,0,1,0,0,0,0,0,None [1],Defense 1 [1],0,0,Offense [2],nothing [3],,got stuck on lowbar/moat,poor [4]
22,20,751,54,Win [1],2,2,2,0,0,2,0,0,0,0,0,Only High [2],Defense 4 [4],1,2,Offense [2],challenge [1],,,good [2]
23,21,1351,66,Loss [2],1,2,0,0,2,0,0,0,0,0,1,Both, mainly low [5],Defense 2 [2],2,3,Offense [2],challenge [1],,,fair [3]
24,qual32,5940,48,Loss [2],0,,2,0,0,0,2,0,0,1,1,Only Low [3],Defense 1 [1],1,1,Offense [2],challenge [1],,,fair [3]
25,33,4816,,Select Match Result [0],0,,0,0,0,0,0,0,0,0,1,Only Low [3],Defense 2 [2],1,2,Select Strengths,challenge [1],,,fair [3]
26,34,668,,Select Match Result [0],0,10,1,0,0,0,0,0,0,0,0,Shooter Type [0],Select Position [0],0,5,Select Strengths,Select End Game [0],,constant misses,Driver's Skill [0]
27,35,4159,65,Loss [2],1,10,0,0,0,0,0,0,1,2,0,Shooter Type [0],Select Position [0],0,0,Select Strengths,challenge [1],,,Driver's Skill [0]
28,36,368,,Select Match Result [0],4,,0,0,1,0,1,0,0,0,0,Shooter Type [0],Select Position [0],1,2,Select Strengths,climb [2],,good climb,good [2]
